ID,mothertongue,proficiency,Finished,Filename
R_50STi7DSlrqjDtF,,Intermediate,False,"Implicit 11_July 1, 2024_10.14.csv"
R_2K6EK0QoCsFAgfD,,Elementary,False,"Implicit 11_July 1, 2024_10.14.csv"
R_5WJqUBUDCq9b0TT,,Advanced,True,"Implicit 12_July 3, 2024_03.36.csv"
R_5Hkc5AKs3JGY26B,Italian,Proficient,True,"Implicit 12_July 3, 2024_03.36.csv"
R_2lrBGE5jldMFxZd,,Advanced,False,"Implicit 12_July 3, 2024_03.36.csv"
R_8kTXTfBd1Z6b62F,,Advanced,True,"Implicit 13_July 3, 2024_03.38.csv"
R_8bV2R7vnUNh8H00,Italian,Proficient,False,"Implicit 13_July 3, 2024_03.38.csv"
R_2Ke1DkZXZ0dNJrX,italian,Native,False,"Implicit 13_July 3, 2024_03.38.csv"
R_1F3Yrgm542gD5q9,Italian,Proficient,True,"Implicit 14_July 3, 2024_03.41.csv"
R_2iBTdd711EvWAsN,italian,Advanced,False,"Implicit 14_July 3, 2024_03.41.csv"
R_3Vx3v1JqI2Ib6xi,,Proficient,False,"Implicit 14_July 3, 2024_03.41.csv"
R_2CE3JdoEWzeinjs,Italian,Native,False,"Implicit 14_July 3, 2024_03.41.csv"
R_8qqO2lzKlTs37Zb,italian,Advanced,False,"Implicit 14_July 3, 2024_03.41.csv"
R_1bjHrCnCSgQGxzj,Italian,Intermediate,False,"Implicit 15_July 3, 2024_03.46.csv"
R_2CzRFCU0UjbGT2F,Italian,Proficient,False,"Implicit 15_July 3, 2024_03.46.csv"
R_60OWT6SmnkvKkiu,English,Native,True,"Implicit 16_July 3, 2024_03.48.csv"
R_8mgKbKCkvadJDRD,Italian,Proficient,True,"Implicit 16_July 3, 2024_03.48.csv"
R_2qxySixzv4m44Lf,Italian,Advanced,False,"Implicit 17_July 3, 2024_03.50.csv"
R_2XQfn6d4kfaYJsB,Italian,Advanced,False,"Implicit 19_July 3, 2024_03.52.csv"
R_8uFmlaE7MDj8I9j,Italian,Proficient,False,"Implicit 19_July 3, 2024_03.52.csv"
R_8VEGIRK5xXR1BGG,,,False,"Implicit 19_July 3, 2024_03.52.csv"
R_868xTm2umV6OHvz,italian,Proficient,True,"Implicit 21_July 3, 2024_03.57.csv"
R_7LX8sFhL0Fmftpz,Italian,Advanced,False,"Implicit 21_July 3, 2024_03.57.csv"
R_4NgATYdGHTALZe6,Italian,Advanced,False,"Implicit 21_July 3, 2024_03.57.csv"
R_1dXxEEQzX2V9AHL,italian,Advanced,False,"Implicit 21_July 3, 2024_03.57.csv"
R_4j6hKZAMv8weI7y,Italian,Advanced,True,"Implicit 22_July 3, 2024_03.59.csv"
R_2BTZdrxVO4mCRJn,italian,Proficient,False,"Implicit 22_July 3, 2024_03.59.csv"
R_2jHgA8Ebq40MLhb,,Proficient,False,"Implicit 22_July 3, 2024_03.59.csv"
R_4COwZMpem0zz7ZN,Italian,Proficient,True,"Implicit 23_July 3, 2024_04.01.csv"
R_2CV31ldNzRoaHPn,,Advanced,False,"Implicit 23_July 3, 2024_04.01.csv"
R_5CEfeJe4XONt3By,Turkish,Native,False,"Implicit 23_July 3, 2024_04.01.csv"
R_7pZIH3RSgrPUEAp,Italian,Intermediate,False,"Implicit 24_July 3, 2024_04.05.csv"
R_2mdONwTwC3dTAMX,,Intermediate,False,"Implicit 24_July 3, 2024_04.05.csv"
R_5rhYz8wPGQcRxKV,,Proficient,False,"Implicit 24_July 3, 2024_04.05.csv"
R_5Euu0UA4mqMcuzr,Persian,Intermediate,False,"Implicit 24_July 3, 2024_04.05.csv"
R_2Evwm6xY3AcaLgR,,Proficient,False,"Implicit 25_July 3, 2024_04.06.csv"
R_8ZIDmGfNMJCUtEM,italian,Advanced,True,"Implicit 31_July 3, 2024_04.15.csv"
R_2DYz8EI4pyusTps,Ita,Advanced,False,"Implicit 31_July 3, 2024_04.15.csv"
R_8CBWHKig5f0ad63,Italian,Proficient,False,"Implicit 31_July 3, 2024_04.15.csv"
R_5r2sfp1DIefaYKd,,Intermediate,True,"Implicit 32_July 3, 2024_04.17.csv"
R_7FM9dwaBCwH1Mxr,,Proficient,True,"Implicit 32_July 3, 2024_04.17.csv"
R_2QMGIbcGfhxlJBG,,Advanced,True,"Implicit 32_July 3, 2024_04.17.csv"
R_3qhLCNc1iLDFdgB,,Proficient,False,"Implicit 32_July 3, 2024_04.17.csv"
R_2KZQ76pqj12DaO8,,Intermediate,False,"Implicit 33_July 3, 2024_04.19.csv"
R_2asjUMKFv4b3ote,,Proficient,True,"Implicit 36_July 3, 2024_04.24.csv"
R_4L99Pp6AIUSdhOF,Italian,Intermediate,True,"Implicit 36_July 3, 2024_04.24.csv"
R_4EiDTVH1oZT6K2J,Italian,Advanced,False,"Implicit 36_July 3, 2024_04.24.csv"
R_2Eh6rA8CweKbHXT,English,Native,False,"Implicit 36_July 3, 2024_04.24.csv"
R_89n3qvxY1spp0TY,,Proficient,False,"Implicit 36_July 3, 2024_04.24.csv"
R_4v6RE1juGBJWVDH,,Advanced,True,"Implicit 37_July 3, 2024_04.25.csv"
R_5qwfB7jjAdkvg6O,,Proficient,False,"Implicit 38_July 3, 2024_04.27.csv"
R_2fxQHsR3x0ewQiW,Italian,Proficient,True,"Implicit 39_July 3, 2024_04.28.csv"
R_28OqRPHLvcHO1JY,,Proficient,False,"Implicit 39_July 3, 2024_04.28.csv"
R_1YLGoYLWzxNhPZH,Chinese,Advanced,True,"Implicit 40_July 3, 2024_04.29.csv"
R_8dpSj7cr0854z9n,Italian,Proficient,True,"Implicit 40_July 3, 2024_04.29.csv"
R_2wQDxVUqR8sEu73,Dutch,Proficient,False,"Implicit 41_July 3, 2024_04.31.csv"
R_7DCrnaBXlZpnNP0,Italian,Advanced,True,"Implicit 4_July 1, 2024_09.55.csv"
R_1OIoPoFU9iz51dL,Italian,Advanced,False,"Implicit 4_July 1, 2024_09.55.csv"
R_23dV91OfIJuAlsF,Italian,Proficient,False,"Implicit 4_July 1, 2024_09.55.csv"
R_5oz2BknkaGTuXhr,Italian,Intermediate,False,"Implicit 5_July 1, 2024_09.58.csv"
R_2mcTSQeFmyWKF3P,Italian,Intermediate,False,"Implicit 5_July 1, 2024_09.58.csv"
R_8q9490vEOTeG52c,Italian,Advanced,False,"Implicit 5_July 1, 2024_09.58.csv"
R_1EyQTaLiELFQNJP,Portugese,Proficient,False,"Implicit 6_July 1, 2024_10.01.csv"
R_1Nl95yUtgx7FRkc,,Intermediate,False,"Implicit 7_July 1, 2024_10.04.csv"
R_1FtsVyhWkW0lo8G,Italian,Advanced,True,"Implicit 7_July 1, 2024_10.04.csv"
R_2kNHbQwRarydB6O,italian,Advanced,True,"Implicit 7_July 1, 2024_10.04.csv"
R_8Cx2MVuPwHTACnx,Italian,Advanced,True,"Implicit 7_July 1, 2024_10.04.csv"
R_6UWmYpfYV2sF2vJ,,,False,"Implicit 7_July 1, 2024_10.04.csv"
R_3P2h0G804tv8bE1,,Advanced,True,"Implicit 8_July 1, 2024_10.06.csv"
R_52bK2fGePFyK7cJ,Italian,Intermediate,True,"Implicit 8_July 1, 2024_10.06.csv"
R_7770IJNGZD68CHF,,Proficient,False,"Implicit 9_July 1, 2024_10.10.csv"
R_6PnI50sag4hu0fv,,,False,"Implicit2_July 1, 2024_03.12.csv"
R_4qerGJX0PnzVBxj,Italian,Proficient,False,"Implicit2_July 1, 2024_03.12.csv"
R_8q8arWBW3hT89l4,,,False,"Implicit2_July 1, 2024_03.12.csv"
R_5MM2MNSjNLIuMeh,,Native,False,"Implicit2_July 1, 2024_03.12.csv"
R_2rq0N8My2NEzUIN,,Intermediate,True,"Implicit3_July 1, 2024_09.42.csv"
R_4N3aJfLuEflO0X5,Italian,Intermediate,True,"Implicit3_July 1, 2024_09.42.csv"
R_4PqaDA4u0JB0ToK,Italian,Proficient,False,"Survey 26_July 3, 2024_04.09.csv"
R_6je2zDVuEJErg7J,,Advanced,False,"Survey 26_July 3, 2024_04.09.csv"
R_1PzBwnik7Lyau5b,IT,Advanced,False,"Survey 27_July 3, 2024_04.10.csv"
R_2dLU7pWbEg6zBXu,,Proficient,True,"Survey 28_July 3, 2024_04.12.csv"
R_5ikWRJG5aYr9LR7,Italian,Proficient,True,"Survey 29_July 3, 2024_04.13.csv"
R_4r3olMCgL2jeQpW,,,False,"Survey 29_July 3, 2024_04.13.csv"
R_8ImU5BFBvUNgQsp,English,Native,False,"Survey 29_July 3, 2024_04.13.csv"
R_8VOGWvQ9ZZEqiPf,Italian,Proficient,False,"Survey 29_July 3, 2024_04.13.csv"
R_31jAP434Q6BAmVt,,,False,"Survey 34_July 3, 2024_04.20.csv"
R_8MN0mQiFZPHnVPl,,Intermediate,False,"Survey 34_July 3, 2024_04.20.csv"
R_34egEDq9PZhTOLl,Italian,Advanced,True,"Survey 35_July 3, 2024_04.22.csv"
R_2jI1zFslmAsf4sb,Italian,Intermediate,True,"Survey 35_July 3, 2024_04.22.csv"
R_15GeaPpg3QRjz1P,Italian,Advanced,True,"Survey 35_July 3, 2024_04.22.csv"
